FLTID,DEPSTN,ARRSTN,typical_hour,n_flights
TU 3016 ,DJE,CDG,1,3
TU 3012 ,TUN,LYS,18,3
TU 0542 ,DJE,TUN,11,3
TU 0543 ,DJE,TUN,21,3
TU 0543 ,MUC,DJE,18,3
TU 2901 ,CDG,TUN,0,3
TU 9009 ,MIR,DJE,19,3
TU 9009 ,NBE,DJE,20,3
TU 9008 ,NBE,DJE,19,3
TU 9009 ,DJE,MIR,3,3
TU 2501 ,LYS,DJE,16,3
TU 2374 ,TUN,ALG,3,3
TU 2500 ,DJE,LYS,13,3
TU 2502 ,DJE,NTE,13,3
TU 2501 ,CDG,DJE,3,3
TU 5014 ,MED,TUN,13,3
TU 5008 ,JED,TUN,0,3
TU 5012 ,MED,TUN,1,3
TU 2536 ,DJE,CDG,14,3
TU 9000 ,DJE,NBE,3,3
TU 2503 ,NTE,DJE,16,3
TU 9001 ,TUN,SFA,3,3
TU 9001 ,SFA,TUN,12,3
TU 9000 ,TUN,NBE,3,3
TU 5060 ,JED,TUN,1,3
TU 6499 ,TUN,DJE,10,3
TU 2870 ,DJE,CDG,23,3
TU 2871 ,CDG,DJE,3,3
TU 2850 ,TUN,LYS,13,3
TU 2836 ,MIR,NCE,20,3
TU 2837 ,NCE,MIR,22,3
TU 9083 ,MIR,DJE,6,3
TU 9083 ,TUN,DJE,6,3
TU 6060 ,JED,TUN,0,3
TU 3003 ,CDG,TUN,3,3
TU 3005 ,CDG,TUN,4,3
TU 3008 ,TUN,CDG,1,3
TU 3008 ,TUN,LYS,19,3
TU 6200 ,DJE,CDG,4,3
TU 6201 ,CDG,DJE,8,3
TU 3000 ,DJE,CDG,1,3
TU 9077 ,TUN,DJE,3,3
TU 9074 ,TUN,DJE,2,3
TU 6299 ,CDG,DJE,9,3
TU 3522 ,MIR,BRU,10,3
TU 9006 ,NBE,DJE,14,3
TU 3514 ,TUN,BRU,15,3
TU 3514 ,MED,TUN,0,2
TU 9006 ,TUN,NBE,5,2
TU 9007 ,MIR,SFA,3,2
TU 0998 ,MRS,NCE,18,2
TU 0998 ,TUN,MRS,14,2
TU 0997 ,MIR,TUN,12,2
TU 0997 ,MRS,TUN,12,2
TU 0997 ,NCE,MIR,10,2
TU 9006 ,DJE,NBE,13,2
TU 0856 ,DJE,MXP,15,2
TU 0856 ,DJE,TUN,12,2
TU 0856 ,TUN,DJE,14,2
TU 0931 ,MRS,MIR,11,2
TU 0930 ,MIR,MRS,8,2
TU 0930 ,TUN,MIR,7,2
TU 0931 ,MIR,TUN,13,2
TU 9008 ,DJE,NBE,5,2
TU 9007 ,SFA,MIR,12,2
TU 9003 ,NBE,DJE,4,2
TU 4501 ,CAG,TUN,21,2
TU 4282 ,HAJ,MUC,8,2
TU 4401 ,PMO,NBE,11,2
TU 4282 ,DJE,HAJ,4,2
TU 3903 ,LIS,DJE,18,2
TU 4012 ,DJE,NTE,21,2
TU 3782 ,TUN,PMO,6,2
TU 9009 ,MIR,NBE,4,2
TU 9009 ,MIR,TUN,6,2
TU 9008 ,NBE,TUN,20,2
TU 0857 ,TUN,DJE,19,2
TU 2515 ,CDG,DJE,3,2
TU 2511 ,CDG,TUN,2,2
TU 2507 ,CDG,DJE,17,2
TU 2510 ,DJE,CDG,1,2
TU 2501 ,NCE,DJE,1,2
TU 2502 ,DJE,CDG,20,2
TU 2502 ,TUN,CDG,17,2
TU 2500 ,TUN,ORY,8,2
TU 2501 ,CDG,TUN,0,2
TU 2500 ,DJE,NCE,20,2
TU 2217 ,IST,TUN,0,2
TU 9010 ,CDG,ORY,5,2
TU 5013 ,TUN,JED,2,2
TU 5013 ,TUN,MED,14,2
TU 5014 ,JED,TUN,18,2
TU 5011 ,TUN,JED,5,2
TU 5011 ,TUN,MED,0,2
TU 5010 ,JED,MIR,1,2
TU 5010 ,MED,TUN,1,2
TU 9003 ,DJE,NBE,3,2
TU 5019 ,TUN,JED,5,2
TU 5020 ,JED,TBJ,19,2
TU 5015 ,TUN,JED,8,2
TU 3418 ,DJE,CDG,4,2
TU 3419 ,CDG,DJE,3,2
TU 3406 ,DJE,CDG,6,2
TU 3403 ,CDG,TUN,3,2
TU 3404 ,MIR,CDG,1,2
TU 2908 ,MIR,CDG,1,2
TU 2909 ,CDG,TUN,4,2
TU 2900 ,TUN,CDG,1,2
TU 9082 ,TUN,MIR,9,2
TU 0542 ,DJE,MUC,14,2
TU 0542 ,TUN,DJE,13,2
TU 0527 ,DUS,MIR,11,2
TU 0527 ,MIR,TUN,15,2
TU 0634 ,DJE,BOD,6,2
TU 0628 ,TLS,BOD,15,2
TU 9063 ,TUN,DJE,13,2
TU 9063 ,TUN,MIR,13,2
TU 9060 ,TUN,DJE,13,2
TU 6470 ,DJE,HAM,10,2
TU 6471 ,HAM,DJE,9,2
TU 6496 ,DJE,MUC,12,2
TU 9082 ,MIR,TUN,7,2
TU 6499 ,MUC,TUN,9,2
TU 2831 ,CDG,TUN,4,2
TU 2821 ,CDG,DJE,0,2
TU 2829 ,NTE,TUN,0,2
TU 6498 ,DJE,TUN,5,2
TU 0629 ,TLS,BOD,15,2
TU 0634 ,BOD,ORY,9,2
TU 3002 ,MIR,CDG,17,2
TU 3002 ,TUN,CDG,18,2
TU 3003 ,CDG,MIR,0,2
TU 3001 ,CDG,DJE,1,2
TU 6081 ,TUN,JED,18,2
TU 6058 ,JED,TUN,20,2
TU 6049 ,TUN,JED,17,2
TU 9084 ,DJE,MIR,4,2
TU 6539 ,TUN,DJE,14,2
TU 6033 ,TUN,SFA,19,2
TU 6033 ,SFA,JED,21,2
TU 0526 ,MIR,DUS,7,2
TU 0526 ,TUN,CGN,13,2
TU 0526 ,TUN,MIR,6,2
TU 0527 ,CGN,TUN,17,2
TU 9084 ,TUN,MIR,10,2
TU 9055 ,TUN,MIR,2,2
TU 9056 ,DJE,TUN,20,2
TU 0642 ,TUN,PRG,8,2
TU 0643 ,BEG,TUN,13,2
TU 0643 ,VIE,BEG,11,2
TU 6538 ,DJE,TUN,12,2
TU 6538 ,TUN,DUS,13,2
TU 6539 ,DUS,TUN,11,2
TU 2820 ,DJE,CDG,15,2
TU 2801 ,MRS,TUN,1,2
TU 2800 ,TUN,CDG,16,2
TU 6549 ,TUN,DJE,22,2
TU 9062 ,DJE,MIR,3,2
TU 9062 ,NBE,MIR,18,2
TU 9057 ,TUN,DJE,3,2
TU 9054 ,TUN,DJE,14,2
TU 0527 ,TUN,DJE,14,2
TU 9080 ,TUN,DJE,3,2
TU 6051 ,TUN,JED,12,2
TU 3018 ,TUN,CDG,1,2
TU 3015 ,CDG,MIR,15,2
TU 3011 ,LYS,TUN,0,2
TU 3009 ,LYS,TUN,23,2
TU 6551 ,HAM,DJE,9,2
TU 3050 ,DJE,CDG,1,2
TU 3042 ,TUN,NTE,13,2
TU 3044 ,TUN,LYS,18,2
TU 3035 ,CDG,TUN,2,2
TU 3036 ,TUN,CDG,1,2
TU 3037 ,CDG,TUN,3,2
TU 3040 ,TUN,NCE,20,2
TU 6026 ,MED,MIR,2,2
TU 6031 ,TUN,JED,21,2
TU 6028 ,JED,TOE,2,2
TU 6028 ,TOE,TUN,5,2
TU 6027 ,TOE,JED,20,2
TU 6027 ,TUN,TOE,19,2
TU 3054 ,DJE,CDG,4,2
TU 3046 ,MIR,CDG,5,2
TU 3047 ,CDG,DJE,16,2
TU 3028 ,TUN,NCE,18,2
TU 3030 ,MIR,LYS,7,2
TU 3024 ,TUN,LYS,18,2
TU 3025 ,LYS,TUN,22,2
TU 3026 ,TUN,MRS,19,2
TU 3021 ,CDG,MIR,3,2
TU 3021 ,CDG,TUN,5,2
TU 6031 ,DJE,JED,16,2
TU 9085 ,NBE,MIR,20,2
TU 9083 ,DJE,TUN,15,2
TU 6033 ,TUN,MED,21,2
TU 6032 ,DJE,TUN,8,2
TU 6032 ,MED,DJE,3,2
TU 6032 ,MED,TUN,3,2
TU 3031 ,LYS,TUN,4,2
TU 3034 ,TUN,CDG,5,2
TU 0481 ,NTE,TUN,18,2
TU 0481 ,TUN,DJE,21,2
TU 0472 ,BLQ,VCE,15,2
TU 0472 ,TUN,BLQ,7,2
TU 6024 ,JED,TOE,2,2
TU 6024 ,MED,TOE,2,2
TU 3070 ,DJE,CDG,4,2
TU 3070 ,TUN,CDG,0,2
TU 6553 ,SXF,NBE,11,2
TU 6552 ,MIR,MUC,11,2
TU 6552 ,MUC,HAM,15,2
TU 6550 ,SXF,HAM,8,2
TU 6026 ,DJE,TUN,6,2
TU 6025 ,SFA,MED,21,2
TU 9096 ,TUN,NBE,4,2
TU 9093 ,DJE,MIR,6,2
TU 6593 ,SXF,TUN,16,2
TU 9053 ,TUN,MIR,12,2
TU 9050 ,DJE,MIR,10,2
TU 9050 ,DJE,NBE,3,2
TU 9051 ,DJE,TUN,1,2
TU 0647 ,NBE,DJE,22,2
TU 9048 ,MIR,TUN,21,2
TU 6553 ,HAM,SXF,9,2
TU 6026 ,MED,SFA,1,2
TU 6026 ,MED,TOE,3,2
TU 6026 ,SFA,TUN,7,2
TU 6025 ,TUN,SFA,19,2
TU 2780 ,TUN,CDG,6,2
TU 2781 ,CDG,TUN,9,2
TU 2770 ,DJE,CDG,1,2
TU 6725 ,PMO,NBE,11,2
TU 3069 ,CDG,DJE,21,2
TU 3064 ,MIR,CDG,1,2
TU 3066 ,DJE,CDG,20,2
TU 3060 ,MIR,NCE,5,2
TU 6023 ,SFA,JED,19,2
TU 6023 ,TOE,JED,18,2
TU 6023 ,TUN,MIR,17,2
TU 6023 ,TUN,SFA,17,2
TU 6830 ,TUN,IEV,4,2
TU 6831 ,IEV,TUN,8,2
TU 6792 ,MIR,PSA,10,2
TU 6793 ,PSA,MIR,12,2
TU 6800 ,TUN,IST,19,2
TU 6801 ,IST,TUN,0,2
TU 2771 ,CDG,TUN,4,2
TU 3068 ,DJE,CDG,17,2
TU 7030 ,DJE,PRG,5,2
TU 9049 ,DJE,MIR,20,2
TU 9045 ,MIR,DJE,11,2
TU 9043 ,MIR,TUN,7,2
TU 0681 ,DJE,MIR,0,2
TU 0681 ,MRS,DJE,21,2
TU 0680 ,DJE,MRS,18,2
TU 0680 ,MIR,DJE,17,2
TU 3071 ,CDG,DJE,3,2
TU 3071 ,CDG,TUN,4,2
TU 3066 ,MIR,CDG,22,2
TU 2716 ,TUN,ORY,5,2
TU 2717 ,ORY,TUN,8,2
TU 2701 ,ORY,TUN,16,2
TU 7036 ,NBE,PRG,14,2
TU 7037 ,PRG,TUN,19,2
TU 9041 ,TUN,MIR,9,2
TU 6021 ,SFA,MED,22,2
TU 3086 ,TUN,LYS,19,2
TU 3087 ,LYS,TUN,1,2
TU 3081 ,ORY,DJE,17,2
TU 3082 ,TUN,CDG,5,2
TU 3083 ,CDG,TUN,2,2
TU 3078 ,TUN,CDG,2,2
TU 9042 ,TUN,MIR,4,2
TU 9039 ,TUN,MIR,11,2
TU 9040 ,MIR,NBE,5,2
TU 9039 ,DJE,MIR,12,2
TU 9039 ,DJE,TUN,18,2
TU 0709 ,ALG,TUN,16,2
TU 0709 ,ORN,ALG,15,2
TU 0701 ,LYS,TUN,12,2
TU 9034 ,MIR,DJE,4,2
TU 9034 ,MIR,TUN,17,2
TU 9033 ,DJE,MIR,3,2
TU 7132 ,TUN,BUD,4,2
TU 2701 ,CDG,MIR,20,2
TU 2700 ,DJE,ORY,7,2
TU 2681 ,ORY,DJE,7,2
TU 2690 ,DJE,CDG,1,2
TU 6023 ,MIR,JED,19,2
TU 6021 ,TUN,SFA,20,2
TU 9113 ,MIR,TUN,11,2
TU 9111 ,DJE,MIR,1,2
TU 9097 ,NBE,DJE,17,2
TU 9098 ,TUN,MIR,2,2
TU 9095 ,TUN,DJE,2,2
TU 9033 ,TUN,MIR,13,2
TU 0721 ,ORY,DJE,15,2
TU 0723 ,DJE,TUN,21,2
TU 0723 ,ORY,DJE,17,2
TU 3093 ,CDG,DJE,1,2
TU 3092 ,DJE,CDG,19,2
TU 6017 ,TOE,MED,17,2
TU 6016 ,MED,TUN,5,2
TU 9725 ,CDG,ORY,4,2
TU 2635 ,CDG,TUN,5,2
TU 9033 ,TUN,DJE,4,2
TU 9031 ,DJE,MIR,11,2
TU 9030 ,DJE,MIR,3,2
TU 9028 ,DJE,TUN,21,2
TU 0725 ,ORY,MIR,6,2
TU 0725 ,MIR,TUN,9,2
TU 9025 ,MIR,TUN,4,2
TU 0431 ,LYS,TUN,10,2
TU 0431 ,TUN,DJE,13,2
TU 0430 ,DJE,TUN,6,2
TU 0399 ,TUN,OUA,15,2
TU 0734 ,TUN,ORY,8,2
TU 0734 ,DJE,CDG,13,2
TU 2660 ,TUN,CDG,12,2
TU 2644 ,TUN,LYS,20,2
TU 3079 ,CDG,TUN,3,2
TU 3080 ,TUN,CDG,18,2
TU 9144 ,MIR,TUN,19,2
TU 9144 ,TUN,MIR,4,2
TU 0433 ,CDG,LIL,19,2
TU 0433 ,LIL,DJE,20,2
TU 0436 ,DJE,TOE,13,2
TU 0430 ,TUN,LYS,8,2
TU 9025 ,DJE,TUN,19,2
TU 9023 ,DJE,MIR,2,2
TU 9023 ,TUN,MIR,2,2
TU 9021 ,TUN,DJE,6,2
TU 9021 ,TUN,MIR,6,2
TU 6013 ,TUN,SFA,14,2
TU 6012 ,DJE,TUN,4,2
TU 6012 ,JED,DJE,1,2
TU 0744 ,CGN,FRA,11,2
TU 0744 ,DJE,FRA,8,2
TU 0744 ,MIR,FRA,8,2
TU 0744 ,TUN,CGN,7,2
TU 9025 ,TUN,MIR,5,2
TU 9026 ,MIR,TUN,19,2
TU 9027 ,CDG,TUN,21,2
TU 9024 ,TUN,ORY,4,2
TU 3121 ,CDG,TUN,4,2
TU 3118 ,TUN,NCE,19,2
TU 3110 ,DJE,CDG,20,2
TU 3112 ,DJE,CDG,20,2
TU 0753 ,FCO,MXP,10,2
TU 0753 ,MXP,TUN,12,2
TU 0745 ,DJE,TUN,15,2
TU 0745 ,FRA,DJE,12,2
TU 9462 ,TUN,LYS,7,2
TU 9436 ,DJE,TOE,13,2
TU 9178 ,MIR,TUN,11,2
TU 9177 ,DJE,MIR,11,2
TU 9155 ,DJE,TUN,13,2
TU 9145 ,TUN,MIR,19,2
TU 9147 ,DJE,MIR,3,2
TU 6015 ,TUN,MED,16,2
TU 6003 ,TUN,SFA,20,2
TU 6004 ,JED,TUN,13,2
TU 6002 ,MED,TOE,23,2
TU 6003 ,SFA,MED,21,2
TU 6001 ,TUN,SFA,16,2
TU 6002 ,DJE,TUN,5,2
UG 0021 ,DJE,TUN,21,2
TU 8233 ,TUN,HBE,13,2
TU 6006 ,JED,TUN,4,2
TU 6004 ,MED,TUN,3,2
TU 6004 ,SFA,TUN,7,2
TU 3185 ,CDG,TUN,4,2
TU 3182 ,TUN,CDG,17,2
TU 3184 ,TUN,CDG,1,2
TU 3176 ,TUN,NCE,19,2
TU 3160 ,DJE,CDG,12,2
TU 0363 ,BLQ,VCE,11,2
TU 6010 ,MED,SFA,1,2
TU 6009 ,TUN,MED,3,2
TU 6008 ,SFA,DJE,3,2
TU 3130 ,DJE,CDG,15,2
TU 6007 ,TUN,JED,17,2
TU 6007 ,TUN,MED,4,2
TU 6006 ,TOE,DJE,4,2
TU 6012 ,JED,TUN,0,2
TU 6013 ,SFA,JED,16,2
TU 6010 ,MED,TUN,3,2
UG 0008 ,GAE,DJE,15,2
UG 0008 ,MIR,DJE,15,2
UG 0008 ,TUN,GAE,13,2
UG 0001 ,DJE,TUN,5,2
TU 0363 ,VCE,TUN,12,2
UG 0009 ,GAE,TUN,16,2
UG 0009 ,TOE,TUN,15,2
TU 0284 ,TUN,VKO,21,2
TU 0285 ,VKO,TUN,2,2
TU 6001 ,TOE,MED,18,2
TU 3208 ,DJE,CDG,19,2
TU 3200 ,DJE,CDG,5,2
TU 3201 ,CDG,TUN,8,2
TU 9017 ,MIR,DJE,13,2
TU 9017 ,NBE,TUN,13,2
UG 0021 ,SFA,TOE,20,2
UG 0021 ,TOE,TUN,21,2
UG 0020 ,DJE,SFA,6,2
UG 0008 ,TUN,MIR,14,2
UG 0009 ,DJE,GAE,15,2
UG 0009 ,DJE,TOE,14,2
TU 2621 ,ORY,TUN,9,2
TU 7455 ,LYS,DJE,21,2
TU 7455 ,NTE,DJE,22,2
TU 7470 ,DJE,LYS,17,2
TU 7455 ,CDG,LYS,19,2
TU 9020 ,MIR,TUN,11,2
TU 9018 ,TUN,MIR,4,2
TU 9017 ,DJE,TUN,14,2
TU 8234 ,HBE,TUN,18,2
TU 8243 ,TUN,HBE,13,2
TU 8244 ,HBE,TUN,0,2
TU 8221 ,LAD,TUN,4,2
TU 8206 ,TUN,MAD,8,2
TU 8207 ,MAD,TUN,12,2
TU 8047 ,TUN,BEY,7,2
TU 8048 ,BEY,TUN,11,2
TU 5524 ,TOE,TUN,4,2
TU 5523 ,TUN,MED,14,2
TU 5521 ,TUN,MED,18,2
TU 5519 ,TUN,MED,17,2
TU 5520 ,MED,TUN,22,2
TU 5516 ,MED,TUN,22,2
TU 5517 ,TUN,JED,19,2
TU 5517 ,TUN,MED,19,2
TU 8290 ,TUN,OPO,10,2
TU 8291 ,GVA,TUN,17,2
TU 8271 ,NBE,HBE,13,2
TU 5554 ,MED,TUN,3,2
TU 5527 ,TUN,JED,18,2
TU 5528 ,JED,TUN,0,2
TU 5523 ,TUN,TOE,19,2
TU 5524 ,MED,TUN,20,2
TU 9017 ,DJE,MIR,3,2
TU 9015 ,MIR,TUN,6,2
TU 9014 ,MIR,TUN,16,2
TU 8447 ,TUN,BEY,6,2
TU 8448 ,BEY,TUN,10,2
TU 2601 ,ORY,TUN,16,2
TU 2600 ,TUN,CDG,18,2
TU 2600 ,TUN,ORY,7,2
TU 3196 ,MIR,CDG,0,2
TU 3197 ,CDG,TUN,4,2
TU 5713 ,TUN,JED,19,2
TU 5714 ,JED,TUN,1,2
TU 5553 ,TUN,MED,17,2
TU 0744 ,TUN,DJE,6,2
TU 0744 ,TUN,MIR,7,2
TU 9016 ,DJE,TUN,0,2
TU 5516 ,JED,TUN,2,2
TU 5513 ,TUN,MED,19,2
TU 5512 ,JED,TUN,1,2
TU 5508 ,JED,TUN,1,2
TU 5508 ,MED,TUN,0,2
TU 5506 ,JED,TOE,1,2
TU 5506 ,TOE,TUN,5,2
TU 5507 ,TUN,MED,19,2
TU 2553 ,CDG,DJE,9,2
TU 2537 ,CDG,TUN,4,2
TU 2538 ,TUN,CDG,6,2
TU 2539 ,CDG,TUN,7,2
TU 2543 ,LYS,MIR,2,2
TU 8612 ,DJE,CDG,4,2
TU 8612 ,NTE,LYS,8,2
TU 8613 ,CDG,LYS,7,2
TU 8641 ,CDG,DJE,7,2
TU 9013 ,NBE,DJE,14,2
TU 9012 ,MIR,TUN,5,2
TU 9012 ,NBE,TUN,19,2
TU 9013 ,DJE,MIR,1,2
TU 9011 ,TUN,MIR,11,2
TU 8640 ,DJE,CDG,4,2
TU 2552 ,DJE,CDG,14,2
TU 5518 ,JED,TUN,0,2
TU 5518 ,MED,TUN,1,2
TU 3230 ,MIR,CDG,1,2
TU 3222 ,DJE,CDG,1,2
TU 3222 ,TUN,MRS,20,2
TU 5515 ,TUN,JED,21,2
TU 5515 ,TUN,MED,17,2
TU 8640 ,MIR,NTE,4,2
TU 5070 ,JED,TUN,7,2
TU 5070 ,MED,TUN,12,2
TU 5071 ,TUN,JED,15,2
TU 3302 ,TUN,LYS,3,2
TU 3303 ,LYS,TUN,5,2
TU 5067 ,TUN,JED,0,2
TU 5063 ,TUN,JED,0,2
TU 5064 ,MED,TUN,16,2
TU 5071 ,TUN,MED,4,2
TU 5072 ,JED,TUN,21,2
TU 5072 ,MED,TUN,10,2
TU 5074 ,JED,SFA,8,2
TU 5068 ,JED,SFA,4,2
TU 5068 ,MED,TUN,7,2
TU 5069 ,TUN,JED,1,2
TU 5069 ,TUN,MED,6,2
TU 3244 ,TUN,MRS,18,2
TU 5091 ,TUN,JED,17,2
TU 5091 ,TUN,MED,0,2
TU 5092 ,JED,TUN,6,2
TU 5087 ,TUN,JED,3,2
TU 5088 ,JED,TUN,9,2
TU 5084 ,JED,TUN,1,2
TU 5077 ,MIR,JED,13,2
TU 3260 ,TUN,NCE,21,2
TU 3252 ,TUN,CDG,2,2
TU 3253 ,CDG,TUN,6,2
TU 3254 ,TUN,CDG,19,2
TU 3245 ,MRS,TUN,22,2
TU 3246 ,TUN,MRS,18,2
TU 3247 ,MRS,DJE,0,2
TU 3250 ,DJE,CDG,0,2
TU 5039 ,SFA,MED,8,2
TU 5039 ,TUN,JED,3,2
TU 5036 ,JED,TUN,3,2
TU 5036 ,MED,TUN,5,2
TU 5037 ,DJE,JED,0,2
TU 5037 ,TUN,MED,10,2
TU 5038 ,JED,MIR,11,2
TU 5033 ,TUN,JED,7,2
TU 5048 ,MED,TUN,2,2
TU 5045 ,TUN,MED,6,2
TU 5046 ,JED,MIR,10,2
TU 5043 ,TUN,JED,13,2
TU 5044 ,JED,TUN,3,2
TU 3400 ,DJE,CDG,13,2
TU 3401 ,CDG,DJE,17,2
TU 3401 ,CDG,TUN,2,2
TU 5053 ,TUN,JED,6,2
TU 5053 ,TUN,MED,19,2
TU 5054 ,JED,TUN,4,2
TU 5049 ,TUN,JED,0,2
TU 5050 ,JED,TUN,6,2
TU 5050 ,MED,TUN,9,2
TU 5051 ,TUN,MED,9,2
TU 5047 ,TUN,JED,9,2
TU 5065 ,TUN,JED,5,2
TU 5061 ,TUN,MED,0,2
TU 5058 ,MED,TUN,0,2
TU 5059 ,TUN,JED,14,2
TU 5060 ,MED,TUN,4,2
TU 5057 ,TUN,JED,9,2
TU 5055 ,TUN,JED,0,2
TU 5056 ,JED,TUN,6,2
TU 5028 ,MED,TUN,13,2
TU 5026 ,JED,MIR,18,2
TU 5026 ,MED,TUN,6,2
TU 5023 ,TUN,JED,13,2
TU 5024 ,JED,TUN,2,2
TU 5024 ,MED,TUN,1,2
TU 5025 ,MIR,MED,0,2
TU 5019 ,TBJ,MED,8,2
TU 8641 ,MIR,DJE,12,2
TU 8641 ,NTE,MIR,9,2
TU 5031 ,TUN,MED,13,2
TU 5032 ,MED,TUN,19,2
TU 5033 ,MIR,MED,10,2
TU 5029 ,TUN,JED,14,2
TU 5029 ,TUN,MED,21,2
TU 5030 ,JED,TUN,3,2
TU 9000 ,NBE,DJE,20,2
TU 9000 ,DJE,TOE,8,2
TU 9000 ,MIR,SFA,3,2
TU 8953 ,BLQ,MIR,4,2
TU 2532 ,DJE,CDG,14,2
TU 2533 ,CDG,DJE,9,2
TU 2534 ,TUN,CDG,6,2
TU 2530 ,TUN,CDG,6,2
TU 5034 ,MED,TUN,1,2
TU 5031 ,TUN,JED,4,2
TU 2506 ,TUN,CDG,14,2
TU 9002 ,MIR,TOE,4,2
TU 9001 ,TUN,TOE,3,2
TU 9001 ,DJE,NBE,3,2
TU 9011 ,MIR,NBE,3,2
TU 9011 ,NBE,TUN,20,2
TU 3519 ,BRU,TUN,5,2
TU 3522 ,DJE,LIS,7,2
UG 1280 ,DJE,CDG,14,2
UG 1500 ,TUN,CDG,0,2
TU 3515 ,BRU,DJE,19,2
TU 3516 ,CAI,TUN,18,2
TU 3513 ,TUN,MED,19,2
TU 3783 ,CAG,TUN,9,2
TU 4601 ,LIS,TUN,11,2
TU 9005 ,NBE,MIR,14,2
UG 1801 ,GVA,DJE,10,2
TU 3523 ,BRU,MIR,15,2
TU 3523 ,LIS,DJE,10,2
UG 1919 ,HBE,TUN,21,2
UG 1281 ,CDG,TUN,18,2
TU 3518 ,TUN,BRU,1,2
TU 5002 ,MED,TUN,6,2
TU 5003 ,MIR,MED,14,2
UG 0045 ,GAE,TUN,17,2
TU 5003 ,SFA,JED,19,2
TU 5001 ,SFA,MED,0,2
TU 4750 ,DJE,TUN,14,2
TU 4750 ,TUN,VIE,15,2
TU 4600 ,TUN,LIS,8,2
TU 2503 ,CDG,DJE,1,2
TU 5009 ,TUN,JED,10,2
TU 5006 ,JED,MIR,5,2
TU 5006 ,MED,TUN,4,2
TU 5004 ,JED,MIR,5,2
TU 5005 ,MIR,MED,3,2
TU 5001 ,TUN,JED,4,2
TU 5002 ,JED,SFA,11,2
TU 6180 ,KGL,TUN,15,2
TU 2950 ,MIR,CDG,1,2
TU 2951 ,CDG,TUN,4,2
TU 6120 ,TUN,IST,18,2
TU 6082 ,JED,TUN,0,2
TU 3007 ,CDG,TUN,4,2
TU 3009 ,CDG,MIR,0,2
TU 3002 ,DJE,CDG,0,2
TU 9069 ,MIR,TUN,8,2
TU 9069 ,NBE,TUN,7,2
TU 9071 ,TUN,DJE,13,2
TU 0555 ,SFA,DJE,21,2
TU 0555 ,SXB,SFA,18,2
TU 0543 ,TUN,DJE,18,2
TU 6200 ,TUN,CDG,11,2
TU 6201 ,CDG,TUN,4,2
TU 3540 ,DJE,GVA,14,2
TU 9003 ,TOE,TUN,17,2
TU 6345 ,CDG,DJE,17,2
TU 6351 ,LYS,DJE,16,2
TU 6344 ,DJE,MIR,13,2
TU 6344 ,MIR,CDG,14,2
TU 9065 ,MIR,TUN,17,2
TU 9064 ,DJE,TUN,18,2
TU 3783 ,PMO,CAG,7,2
TU 3715 ,TUN,MED,18,2
TU 3716 ,MED,TUN,4,2
UG 0500 ,TUN,DJE,2,2
UG 0500 ,TUN,SFA,6,2
UG 0404 ,TUN,DJE,10,2
UG 0500 ,DJE,TUN,4,2
UG 0500 ,MIR,SFA,6,2
X9 9002 ,STR,TUN,11,1
AT 0612 ,RAK,TLS,16,1
UG 1731 ,NAP,DJE,12,1
UG 1731 ,NAP,MLA,22,1
UG 1758 ,MIR,PMO,12,1
UG 1800 ,DJE,GVA,9,1
UG 1800 ,TUN,GVA,7,1
UG 1851 ,CPH,ARN,17,1
UG 1916 ,TUN,HBE,11,1
UG 1917 ,HBE,TUN,19,1
UG 1918 ,TUN,HBE,12,1
AT 8973 ,TUN,OUD,13,1
AT 8974 ,NDR,TUN,23,1
AT 8975 ,TUN,NDR,8,1
AT 8976 ,NDR,TUN,1,1
AT 8976 ,OUD,NDR,0,1
AUI 1911 ,KBP,TUN,9,1
D4 4444 ,IEV,DJE,0,1
D4 4445 ,DJE,IEV,22,1
UG 9004 ,TOE,GAE,16,1
UH 1758 ,TUN,PMO,9,1
UH 1759 ,PMO,TUN,11,1
AT 0627 ,OUD,AHU,10,1
AT 8621 ,AHU,NDR,20,1
AT 8626 ,NDR,AHU,15,1
AT 8971 ,TUN,NDR,9,1
AT 8972 ,NDR,TUN,23,1
UG 1007 ,CTA,TUN,4,1
UG 1020 ,TUN,TPS,9,1
UG 1021 ,TPS,TUN,11,1
UG 1200 ,LYS,NTE,18,1
UG 1201 ,LYS,TUN,9,1
UG 1202 ,DJE,LYS,21,1
UG 1203 ,LYS,TUN,0,1
UG 9000 ,TOE,GAE,16,1
UG 0501 ,DJE,TUN,20,1
UG 0501 ,NBE,TUN,19,1
UG 0501 ,SFA,MIR,15,1
UG 0501 ,TUN,DJE,17,1
UG 0502 ,TUN,SFA,12,1
UG 1004 ,TUN,PMO,6,1
UG 1005 ,PMO,TUN,8,1
UG 1006 ,TUN,CTA,3,1
TU 3504 ,KRT,SFA,22,1
TU 3504 ,SFA,BRU,16,1
TU 3529 ,BRU,TUN,10,1
TU 3536 ,MIR,BRU,17,1
TU 3537 ,BRU,MIR,1,1
TU 3541 ,GVA,DJE,19,1
TU 3541 ,GVA,TUN,18,1
TU 3550 ,MIR,OST,12,1
TU 3485 ,CDG,MIR,1,1
TU 3490 ,TUN,MRS,20,1
TU 3491 ,MRS,DJE,22,1
TU 3500 ,TUN,IST,22,1
TU 3501 ,IST,TUN,1,1
TU 3503 ,TUN,JED,2,1
